01,Республика Адыгея,Южный ФО
02,Республика Башкортостан,Приволжский ФО
102,Республика Башкортостан,Приволжский ФО
03,Республика Бурятия,Сибирский ФО
04,Республика Алтай,Сибирский ФО
05,Республика Дагестан,Северо–Кавказский ФО
105,Республика Дагестан,Северо–Кавказский ФО
06,Республика Ингушетия,Северо–Кавказский ФО
07,Кабардино–Балканская Республика,Северо–Кавказский ФО
08,Республика Калмыкия,Южный ФО
09,Республика Карачаево–Черкессия,Северо–Кавказский ФО
10,Республика Карелия,Северо–Западный ФО
11,Республика Коми,Северо–Западный ФО
12,Республика Марий Эл,Приволжский ФО
13,Республика Мордовия,Приволжский ФО
113,Республика Мордовия,Приволжский ФО
14,Республика Саха (Якутия),Дальневосточный ФО
15,Республика Северная Осетия – Алания,Северо–Кавказский ФО
16,Республика Татарстан,Приволжский ФО
116,Республика Татарстан,Приволжский ФО
17,Республика Тыва,Сибирский ФО
18,Удмуртская Республика,Приволжский ФО
19,Республика Хакасия,Сибирский ФО
21,Чувашская Республика,Приволжский ФО
121,Чувашская Республика,Приволжский ФО
22,Алтайский край,Сибирский ФО
23,Краснодарский край,Южный ФО
93,Краснодарский край,Южный ФО
123,Краснодарский край,Южный ФО
24,Красноярский край,Сибирский ФО
84,Красноярский край,Сибирский ФО
88,Красноярский край,Сибирский ФО
124,Красноярский край,Сибирский ФО
25,Приморский край,Дальневосточный ФО
125,Приморский край,Дальневосточный ФО
26,Ставропольский край,Северо–Кавказский ФО
27,Хабаровский край,Дальневосточный ФО
28,Амурская область,Дальневосточный ФО
29,Архангельская область,Северо–Западный ФО
92,Архангельская область,Северо–Западный ФО
129,Архангельская область,Северо–Западный ФО
30,Астраханская область,Южный ФО
31,Белгородская область,Центральный ФО
32,Брянская область,Центральный ФО
33,Владимирская область,Центральный ФО
34,Волгоградская область,Южный ФО
35,Вологодская область,Северо–Западный ФО
36,Воронежская область,Центральный ФО
136,Воронежская область,Центральный ФО
37,Ивановская область,Центральный ФО
38,Иркутская область,Сибирский ФО
85,Иркутская область,Сибирский ФО
39,Калининградская область,Северо–Западный ФО
91,Калининградская область,Северо–Западный ФО
40,Калужская область,Центральный ФО
41,Камчатский край,Дальневосточный ФО
82,Камчатский край,Дальневосточный ФО
42,Кемеровская область,Сибирский ФО
142,Кемеровская область,Сибирский ФО
43,Кировская область,Приволжский ФО
44,Костромская область,Центральный ФО
45,Курганская область,Уральский ФО
46,Курская область,Центральный ФО
47,Ленинградская область,Северо–Западный ФО
48,Липецкая область,Центральный ФО
49,Магаданская область,Дальневосточный ФО
50,Московская область,Центральный ФО
90,Московская область,Центральный ФО
150,Московская область,Центральный ФО
190,Московская область,Центральный ФО
51,Мурманская область,Северо–Западный ФО
52,Нижегородская область,Приволжский ФО
152,Нижегородская область,Приволжский ФО
53,Новгородская область,Северо–Западный ФО
54,Новосибирская область,Сибирский ФО
154,Новосибирская область,Сибирский ФО
55,Омская область,Сибирский ФО
56,Оренбургская область,Приволжский ФО
57,Орловская область,Центральный ФО
58,Пензенская область,Приволжский ФО
59,Пермский край,Приволжский ФО
81,Пермский край,Приволжский ФО
159,Пермский край,Приволжский ФО
60,Псковская область,Северо–Западный ФО
61,Ростовская область,Южный ФО
161,Ростовская область,Южный ФО
62,Рязанская область,Центральный ФО
63,Самарская область,Приволжский ФО
163,Самарская область,Приволжский ФО
64,Саратовская область,Приволжский ФО
164,Саратовская область,Приволжский ФО
65,Сахалинская область,Дальневосточный ФО
66,Свердловская область,Уральский ФО
96,Свердловская область,Уральский ФО
67,Смоленская область,Центральный ФО
68,Тамбовская область,Центральный ФО
69,Тверская область,Центральный ФО
70,Томская область,Сибирский ФО
71,Тульская область,Центральный ФО
72,Тюменская область,Уральский ФО
73,Ульяновская область,Приволжский ФО
173,Ульяновская область,Приволжский ФО
74,Челябинская область,Уральский ФО
174,Челябинская область,Уральский ФО
75,Забайкальский край,Сибирский ФО
80,Забайкальский край,Сибирский ФО
76,Ярославская область,Центральный ФО
77,Москва,Центральный ФО
97,Москва,Центральный ФО
99,Москва,Центральный ФО
177,Москва,Центральный ФО
199,Москва,Центральный ФО
197,Москва,Центральный ФО
277,Москва,Центральный ФО
78,Санкт–Петербург,Северо–Западный ФО
98,Санкт–Петербург,Северо–Западный ФО
178,Санкт–Петербург,Северо–Западный ФО
198,Санкт–Петербург,Северо–Западный ФО
79,Еврейская автономная область,Дальневосточный ФО
83,Ненецкий автономный округ,Северо–Западный ФО
86,Ханты–Мансийский автономный округ Югра,Уральский ФО
87,Чукотский автономный округ,Дальневосточный ФО
89,Ямало–Ненецкий автономный округ,Уральский ФО
94,"Территории, находящиеся за пределами РФ, обслуживаемые Департаментом Режимных Объектов МВД РФ (Байконур, антарктические станции)",
95,Чеченская республика,Северо–Кавказский ФО